0000000012JUAN CARLOS MARTINEZ LOPEZ              AV. REFORMA 123, CDMX                                       00001250050P
0000001520MARIA FERNANDA GARCIA PEREZ             CALLE HIDALGO 56, GUADALAJARA                               00001875075E
0000065023LUIS ALBERTO RAMIREZ TORRES             AV. INSURGENTES 789, CDMX                                   00002000000P
0000012345ANA SOFIA HERNANDEZ GOMEZ               CALLE 5 DE MAYO 321, PUEBLA                                 00001550025P
0000054321JOSE ANTONIO RODRIGUEZ DIAZ             AV. REVOLUCION 456, GUADALAJARA                             00001700060P
0000000123DANIELA ALEJANDRA CASTILLO RUIZ         CALLE BENITO JUAREZ 678, MONTERREY                          00001925090E
0000000234MIGUEL ANGEL SANCHEZ MORENO             AV. UNIVERSIDAD 234, CDMX                                   00001675040E
0000002365PAULA ISABEL VAZQUEZ FLORES             CALLE MORELOS 890, MERIDA                                   00001800030P
0000010934RICARDO EMILIANO GUTIERREZ MARTIN       AV. LOPEZ MATEOS 567, GUADALAJARA                           00002050085E
0000000034VALERIA GUADALUPE MENDOZA REYES         CALLE INDEPENDENCIA 345, OAXACA                             00001975065E
0000000235CARLOS EDUARDO NAVARRO CERVANTES        AV. JUAREZ 101, TIJUANA                                     00001450200P
