************************************************************************************************************************************
*                                                 Reporte de Empleados Eventuales                                      Pagina:   1 *
************************************************************************************************************************************
              NOMBRE EMPLEADO                                  DIRECCION                                      SUELDO      10/04/2025
     -----------------------------------          -----------------------------------                     --------------            
     MARIA GOMEZ                                  CALLE BENITO JUAREZ 456                                 $    30,500.00            
     ANA MARTINEZ                                 AVENIDA CHAPULTEPEC 321                                 $    20,300.00            
     FERNANDO RAMIREZ                             CALLE FRANCISCO I. MADERO 987                           $    35,250.00            
     ROBERTO CASTILLO                             CALLE DIEGO RIVERA 753                                  $    33,750.00            
     ALEJANDRO MENDOZA                            CALLE IGNACIO ALLENDE 159                               $    50,000.00            
     RICARDO DOMINGUEZ                            AVENIDA UNIVERSIDAD 987                                 $    42,000.00            
     ENRIQUE VARGAS                               PASEO INTERLOMAS 321                                    $    41,750.00            
     DANIELA GUTIERREZ                            AVENIDA POLANCO 369                                     $    45,250.00            
     VALERIA CHAVEZ                               AVENIDA PATRIOTISMO 432                                 $    38,750.00            
     ELENA NAVARRO                                CALLE ZARAGOZA 123                                      $    47,000.00            
     NATALIA CORDOVA                              CALLE VICENTE GUERRERO 678                              $    27,500.00            
     LUIS GALLARDO                                PASEO DE LA REFORMA 123                                 $    36,250.00            
     ISABEL SOTO                                  AVENIDA JOSE MARIA MORELOS 321                          $    31,750.00            
     ANDREA JUAREZ                                CALLE MELCHOR OCAMPO 987                                $    28,250.00            
     ARTURO MORALES                               CALLE ADOLFO LOPEZ MATEOS 369                           $    50,250.00            
     ROSALIA HERNANDEZ                            CALLE IGNACIO ALLENDE 789                               $    33,250.00            
     FERNANDA VILLANUEVA                          AVENIDA UNIVERSIDAD 765                                 $    42,500.00            
     VANESSA CARRILLO                             AVENIDA POLANCO 432                                     $    45,000.00            
     CAMILA ALVARADO                              PASEO DE LA REFORMA 123                                 $    38,250.00            
     MIREYA NAVARRO                               CALLE IGNACIO ZARAGOZA 654                              $    47,500.00            
     SOFIA LOPEZ                                  AVENIDA LAZARO CARDENAS 876                             $    40,250.00            
     GABRIELA RIVERA                              CALLE HIDALGO 765                                       $    48,000.00            
     JULIA MORENO                                 CALLE REVOLUCION 987                                    $    32,500.00            
     CECILIA RAMIREZ                              CALLE FRANCISCO I. MADERO 321                           $    31,250.00            
     ISABEL GOMEZ                                 CALLE ZARAGOZA 369                                      $    50,750.00            
     JESUS LOPEZ ALMEJO                           AVENIDA UNIVERSIDAD 765, TIJUANA, BC                    $    38,250.00            
     LUCIA DOMINGUEZ                              CALLE BENITO JUAREZ 321                                 $    30,750.00            
     NATALIA HERNANDEZ                            CALLE MIGUEL HIDALGO 987                                $    35,250.00            
     VALERIA SANCHEZ                              AVENIDA CONSTITUYENTES 159                              $    28,500.00            
     CAMILA FUENTES                               PASEO DE LOS ARCOS 543                                  $    39,500.00            
     MARIA EUGENIA SALAZAR                        AVENIDA HIDALGO 654                                     $    29,500.00            
     CECILIA RODRIGUEZ                            CALLE FRANCISCO I. MADERO 765                           $    38,000.00            
     LORENA CASTILLO                              CALLE REVOLUCION 321                                    $    35,500.00            
     ELENA VALENCIA                               AVENIDA UNIVERSIDAD 159                                 $    30,250.00            
     GLENN DIESEN                                 SOUTHEASTERN UNIVERSITY NORWAY, NORWAY                  $    50,000.00            
     MARTHA LOPEZ                                 AVENIDA SAN ANTONIO 432                                 $    29,750.00            
     VERONICA MARTINEZ                            PASEO DE LOS TAMARINDOS 654                             $    39,250.00            
     PAOLA NAVARRO                                AVENIDA ZARAGOZA 543                                    $    41,250.00            
     GABRIELA SALGADO                             AVENIDA CHAPULTEPEC 321                                 $    47,750.00            
     CAMILA CERVANTES                             PASEO DE LOS ARCOS 543                                  $    35,000.00            
